fx,time(s)
-398.1,1156.9
-398.1,1157.4
-398.1,1158.8
-398.1,1160.7
-398.1,1162.4
-398.1,1175.1
-398.16,1183.2
-398.16,1184.3
-398.16,1184.6
-398.16,1185
-398.16,1185.5
-398.16,1187.1
-398.16,1187.3
-398.16,1187.7
-398.16,1187.8
-398.16,1188.1
-398.16,1188.4
-398.16,1188.7
-398.16,1190.8
-398.16,1193.1
-398.16,1193.4
-398.16,1193.8
-398.16,1194.5
-398.16,1198.5
-398.16,1198.9
-398.16,1201.6
-398.27,1207
-398.27,1207
-398.27,1207.4
-398.27,1207.9
-398.27,1208.2
-398.27,1208.2
-398.27,1208.7
-398.27,1209.4
-398.27,1209.4
-398.27,1210.6
-398.27,1211.4
-398.27,1211.7
-398.27,1211.7
-398.27,1212
-398.27,1212.1
-398.27,1212.1
-398.27,1214.9
-398.27,1217.6
-398.27,1226.2
-398.27,1228.1
-398.27,1228.2
-398.27,1233.9
-398.27,1234.3
-398.27,1235
-398.31,1235.9
-398.32,1237.1
-398.32,1237.2
-398.32,1237.4
-398.32,1237.6
-398.32,1237.8
-398.32,1238.6
-398.32,1239.5
-398.32,1240.8
-398.32,1240.9
-398.32,1241.2
-398.32,1241.8
-398.32,1241.9
-398.32,1241.9
-398.32,1242.9
-398.32,1243
-398.57,1243.2
-398.57,1243.3
-398.57,1243.3
-398.57,1243.8
-398.57,1244.6
-398.57,1245.4
-398.57,1246.5
-398.57,1246.7
-398.57,1246.7
-398.57,1247
-398.57,1247.3
-398.57,1247.3
-398.57,1247.9
-398.57,1247.9
-398.57,1248.3
-398.57,1248.8
-398.57,1249.2
-398.57,1254.9
-398.57,1256
-398.57,1259
-398.62,1261.3
-398.62,1267.3
-398.62,1269.6
-398.62,1270.8
-398.62,1272.4
-398.62,1272.8
-398.75,1273.3
-398.75,1273.5
-398.75,1274.2
-398.75,1274.2
-398.75,1274.7
-398.75,1274.7
-398.75,1274.8
-398.75,1274.8
-398.75,1274.8
-398.75,1275.5
-398.75,1276.5
-398.75,1276.5
