Unnamed: 0	observableId	simulationConditionId	measurement	time
240	obs_cycE__nuc_median	wt	0.36537670021630547	26790
241	obs_cycE__nuc_median	wt	0.3403747318765228	27495
242	obs_cycE__nuc_median	wt	0.31852222215999854	28200
243	obs_cycE__nuc_median	wt	0.29934697410790584	28905
244	obs_cycE__nuc_median	wt	0.28242766060519714	29610
245	obs_cycE__nuc_median	wt	0.2674092800278792	30315
246	obs_cycE__nuc_median	wt	0.25400010897617153	31020
247	obs_cycE__nuc_median	wt	0.24196225823156575	31725
248	obs_cycE__nuc_median	wt	0.23110145281758565	32430
249	obs_cycE__nuc_median	wt	0.22125814929480678	33135
250	obs_cycE__nuc_median	wt	0.2123004292980742	33840
251	obs_cycE__nuc_median	wt	0.2041183127359553	34545
252	obs_cycE__nuc_median	wt	0.1966195064861208	35250
253	obs_cycE__nuc_median	wt	0.1897260033048127	35955
254	obs_cycE__nuc_median	wt	0.18337143580312315	36660
255	obs_cycE__nuc_median	wt	0.17749899417140977	37365
256	obs_cycE__nuc_median	wt	0.17205978290910903	38070
257	obs_cycE__nuc_median	wt	0.16701149064289028	38775
258	obs_cycE__nuc_median	wt	0.16231733637945134	39480
259	obs_cycE__nuc_median	wt	0.15794519236010934	40185
260	obs_cycE__nuc_median	wt	0.1538668712470054	40890
261	obs_cycE__nuc_median	wt	0.15005756086748498	41595
262	obs_cycE__nuc_median	wt	0.14649531899678492	42300
263	obs_cycE__nuc_median	wt	0.14316067064699223	43005
264	obs_cycE__nuc_median	wt	0.14003626997540425	43710
265	obs_cycE__nuc_median	wt	0.1371066022183019	44415
266	obs_cycE__nuc_median	wt	0.1343577245063561	45120
267	obs_cycE__nuc_median	wt	0.13177703783814276	45825
268	obs_cycE__nuc_median	wt	0.12935307325435663	46530
269	obs_cycE__nuc_median	wt	0.12707527865117274	47235
270	obs_cycE__nuc_median	wt	0.12493378979678138	47940
271	obs_cycE__nuc_median	wt	0.12291915271625158	48645
272	obs_cycE__nuc_median	wt	0.12102194282151489	49350
273	obs_cycE__nuc_median	wt	0.11923217367266963	50055
274	obs_cycE__nuc_median	wt	0.11753826766448439	50760
275	obs_cycE__nuc_median	wt	0.11592506211016959	51465
276	obs_cycE__nuc_median	wt	0.11436949011279954	52170
277	obs_cycE__nuc_median	wt	0.11282988979811247	52875
278	obs_cycE__nuc_median	wt	0.1112143499149614	53580
279	obs_cycE__nuc_median	wt	0.10925752188694675	54285
280	obs_cycE__nuc_median	wt	0.1057320529113653	54990
281	obs_cycE__nuc_median	wt	0.09058068888133401	55695
282	obs_cycE__nuc_median	wt	0.06827428643573712	56400
283	obs_cycE__nuc_median	wt	0.05521099548887332	57105
284	obs_cycE__nuc_median	wt	0.050640270583522065	57810
285	obs_cycE__nuc_median	wt	0.05168360779865124	58515
286	obs_cycE__nuc_median	wt	0.05656783353593445	59220
287	obs_cycE__nuc_median	wt	0.06445134027352427	59925
288	obs_cycE__nuc_median	wt	0.07494395076159124	60630
289	obs_cycE__nuc_median	wt	0.08782633783812029	61335
290	obs_cycE__nuc_median	wt	0.10297230916272537	62040
291	obs_cycE__nuc_median	wt	0.12050053344936623	62745
292	obs_cycE__nuc_median	wt	0.14064432668964133	63450
293	obs_cycE__nuc_median	wt	0.16327419637713494	64155
294	obs_cycE__nuc_median	wt	0.18806938685735908	64860
295	obs_cycE__nuc_median	wt	0.2147648909408438	65565
296	obs_cycE__nuc_median	wt	0.243268594672466	66270
297	obs_cycE__nuc_median	wt	0.27370904829553894	66975
298	obs_cycE__nuc_median	wt	0.30640625530627297	67680
299	obs_cycE__nuc_median	wt	0.3417462524192359	68385
300	obs_cycE__nuc_median	wt	0.38008564319881055	69090
301	obs_cycE__nuc_median	wt	0.4217426411634885	69795
302	obs_cycE__nuc_median	wt	0.4670062746638648	70500
303	obs_E2F1__nuc_median	wt	0.171695234898	0
304	obs_E2F1__nuc_median	wt	0.18837802041121737	705
