fx,time(s)
2.84E+03,4.28E+04
2.84E+03,4.28E+04
2.84E+03,4.28E+04
2.84E+03,4.28E+04
2.84E+03,4.28E+04
2.84E+03,4.29E+04
2.84E+03,4.29E+04
2.84E+03,4.29E+04
2.84E+03,4.29E+04
2.84E+03,4.29E+04
2.84E+03,4.29E+04
2.84E+03,4.29E+04
2.84E+03,4.29E+04
2.84E+03,4.29E+04
2.84E+03,4.30E+04
2.84E+03,4.31E+04
2.84E+03,4.31E+04
2.84E+03,4.32E+04
2.84E+03,4.33E+04
2.84E+03,4.34E+04
2.84E+03,4.35E+04
2.84E+03,4.35E+04
2.84E+03,4.35E+04
2.84E+03,4.37E+04
2.84E+03,4.37E+04
2.84E+03,4.38E+04
2.84E+03,4.38E+04
2.84E+03,4.38E+04
2.84E+03,4.39E+04
2.84E+03,4.39E+04
2.84E+03,4.39E+04
2.84E+03,4.39E+04
2.84E+03,4.40E+04
2.84E+03,4.41E+04
2.84E+03,4.41E+04
2.84E+03,4.42E+04
2.84E+03,4.42E+04
2.84E+03,4.42E+04
2.84E+03,4.42E+04
2.84E+03,4.43E+04
2.84E+03,4.43E+04
2.84E+03,4.43E+04
2.84E+03,4.43E+04
2.84E+03,4.43E+04
2.84E+03,4.43E+04
2.84E+03,4.45E+04
2.84E+03,4.45E+04
2.84E+03,4.45E+04
2.84E+03,4.46E+04
2.84E+03,4.46E+04
2.84E+03,4.46E+04
2.84E+03,4.47E+04
2.84E+03,4.47E+04
2.84E+03,4.47E+04
2.84E+03,4.48E+04
2.84E+03,4.48E+04
2.84E+03,4.48E+04
2.84E+03,4.48E+04
2.84E+03,4.49E+04
2.84E+03,4.49E+04
2.84E+03,4.49E+04
2.84E+03,4.49E+04
2.84E+03,4.49E+04
2.84E+03,4.49E+04
2.84E+03,4.49E+04
2.84E+03,4.50E+04
2.84E+03,4.50E+04
2.84E+03,4.50E+04
2.84E+03,4.50E+04
2.84E+03,4.51E+04
2.84E+03,4.51E+04
2.84E+03,4.51E+04
