parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters	
ic_wt_cell__CCNE_promoter_E2F_1__E2F_DBD_1_RB1_Ser332p_		lin	0	0	0	0	0	uniform		
ic_wt_cell__CCNA_promoter_E2F_1__E2F_DBD_1_RB1_Ser332p_		lin	0	0	0	0	0	uniform		
ic_wt_cell__E2F_DBD_1_RB1_Ser332p__E2F_promoter_E2F_1_		lin	0	0	0	0	0	uniform		
ic_wt_cell__E2F_DBD_1_RB1_Ser332p__FBXO5_promoter_E2F_1_		lin	0	0	0	0	0	uniform		
ic_wt_cell__E2F_DBD_1_RB1_Ser332p__FOXM1_promoter_E2F_1_		lin	0	0	0	0	0	uniform		
oCCNA		lin	0	0.305627054	0.254689212	1	0	uniform		
oCCNB		lin	0	0.534931031	0.445775859	1	0	uniform		
oCCNE		lin	0	0.625025635	0.520854696	1	0	uniform		
oE2F		lin	0	0.710586775	0.592155646	1	0	laplace	0;1	
oRB1_pSer807Ser811		lin	0	0.092359914	0.076966595	1	0	laplace	0;1	
sCCNA		lin	0.2	20	2	1	1	laplace	0;10	
sCCNB		lin	0.2	20	2	1	1	laplace	0;10	
sCCNE		lin	0.2	20	2	1	1	uniform		
sE2F		lin	0.2	20	2	1	1	uniform		
sRB1_pSer807Ser811		lin	0.2	20	2	1	1	uniform		
noiseParameter1		lin	0	0	0	0	0	uniform		
noiseParameter2		lin	0.1	10	1	0	0	uniform		
